,novos_projetos_contratados,valor_projetos_contratados,projetos_concluidos
2024-10-01,42.6555438793204,71707118.88848779,28.687266521790338
2024-11-01,51.62386112455681,70430571.33757854,29.842931409657645
2024-12-01,57.14773723653685,85317171.94926171,40.99859228576657
2025-01-01,45.146616020214296,67744686.64751503,28.857687792681663
2025-02-01,38.31811228520397,88231111.86935535,30.897788514539265
2025-03-01,45.18960693826807,80056406.77932668,35.73788253605522
2025-04-01,42.26106513349214,78436136.15542917,29.97797322561013
2025-05-01,44.03257353543588,67212316.25348581,31.018074879429243
2025-06-01,42.20405741562222,72022376.04727218,33.15817736145195
2025-07-01,46.67554354992635,82127613.10335761,32.29827476261736
2025-08-01,44.847011691519484,74631952.92971681,31.538372811353764
2025-09-01,44.51851683713,76606508.05404064,31.47845541981998
